Internet Archive URL,Object Identifier,Call Number,Project Identifier,Project Note,Institution,Asset Type,Media Type,Generation,Main or Supplied Title,Additional Title,Series Title,Description or Content Summary,Why the recording is significant to California/local history,Producer,Director,Writer,Interviewer,Performer,Country of Creation,Date Created,Date Published,Copyright Statement,Gauge and Format,Total Number of Reels or Tapes,Duration,Silent or Sound,Color and/or Black and White,Camera,Editor,Sound,Music,Cast,Interviewee,Speaker,Musician,Publisher,Distributor,Language,Subject Topic,Subject Topic Authority Source,Subject Entity,Subject Entity Authority Source,Genre,Genre Authority Source,Spatial Coverage,Temporal Coverage,Collection Guide Title,Collection Guide URL,Relationship,Relationship Type,Aspect Ratio,Running Speed,Timecode Content Begins,Track Standard,Channel Configuration,Subtitles/Intertitles/Closed Captions,Stock Manufacturer,Base Type,Base Thickness,Copyright Holder,Copyright Holder Info,Copyright Date,Copyright Notice,Institutional Rights Statement (URL),Object ARK,Institution ARK,Institution URL,Quality Control Notes,Additional Descriptive Notes for Overall Work,Additional Technical Notes for Overall Work,Transcript,Cataloger Notes,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
http://archive.org/details/casauhs_00001,casauhs_00001_t1; casauhs_00001_t2,,cavpp003150,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Mignone Trouette Conner -- 1987,,Sausalito Historical Society Oral Histories,oral history of Mignone Trouette Conner by interviewer Betsy Kraemer.,"Born in 1908. Long-term resident of Sausalito. Talks about local Sausalito residents: Father Valentine, Mayor Thomas, George Maxwell, Wossers, Fiedlers,  and her grandfather who was constable. and about the gambling era. efforts o clean up the town, Sausalito as a wild place, growth of civic mindedness in the town, the diphtheria epidemic",,,,,,US,6/5/87,,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,2 Tapes of 2,,Sound,,,,,,,,,,,,eng,History,,,,Documentary,,Sausalito (Calif.),,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA",6/5/87,,,,,sausalitohistoricalsociety.com,,,,,counter logs of 6/5/87 and 6/14/93 interviews,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/0,0,http://archive.org/details,http://archive.org/details
http://archive.org/details/casauhs_00010,casauhs_00010_t1; casauhs_00010_t2,,cavpp003159,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Robin Sweeny,,,Oral history of Robin Sweeny by interviewer Betsy Kraemer,"Robin is a long-term resident of Sausalito and was very active in Sausalito government, serving on the City Council and as mayor. She talks about development projects in the city, Sally Stanford, and being a woman on the council",,,,,,US,1992-06-12; 1992-07-27,,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,2 Tapes of 2,Approx 2:00:00,Sound,,,,,,,,,,,,eng,Political participation--California,,,,Documentary,,Sausalito (Calif.),,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA",1992-06-12 and 1992-07-27,,,ark:/13030/c8d50qd1,ark:/13030/c8h997k6,sausalitohistoricalsociety.com,Tapes are potential duplicates; please review prior to transfer.,,,,counter logs,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/1,1,http://archive.org/details,http://archive.org/details
http://archive.org/details/casauhs_00011,casauhs_00011_t1; casauhs_00011_t2,,cavpp003160,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Eary Dunphy,,Sausalito Historical Society Oral Histories,Oral history of Earl Dunphy by interviewer Chris Hayden,"Long-term resident of Sausalito. Worked for the NWP Railroad and was postmaster in Sausalito. Served as mayor of Sausalito, and was on the city council, planning commission, and coordinator of civilian defense during WWII.  Talks about Marinship Sausalito during WWII.",,,,,,US,1990-01-29; 1990-05-09,,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,2 Tapes of 2,Approx 2:00:00,Sound,,,,,,,,,,,,eng,Transportation; Political activity,,,,,,,,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA",1990-01-29 and 1990-05-09,,,ark:/13030/c88c9zpr,ark:/13030/c8h997k6,sausalitohistoricalsociety.com,,,,,counter log,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/2,2,http://archive.org/details,http://archive.org/details
http://archive.org/details/casauhs_00007,casauhs_00007,,cavpp003156,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Dorothy Gibson,,Sausalito Historical Society Oral Histories,oral history of Dorothy Gibson by interviewer Betsy Stroman,"Has degree in clinical psychology. Worked at Children's Home Society, an adoption agency and California Dept of Mental Hygiene.Lived in S.F. and now long-term of Sausalito. Talks about Mignone Conner, conflict between business interests and environmentalists, ran for Sausalito  City Council, served on the planning commission.  Wrote Marin Headlands and Exploring Sausalito's Paths and Walkways. Leads walking tours in Sausalito.",,,,,,US,12/12/05,,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,1 Tape of 1,Approx 1:00:00,Sound,,,,,,,,,,,,eng,California--Politics and government; Psychology--Study and teaching,,,,Documentary,,,,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA",12/17/05,,,ark:/13030/c8sf2zmj,ark:/13030/c8h997k6,sausalitohistoricalsociety.com,,,,,extensive counter log,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/3,3,http://archive.org/details,http://archive.org/details
http://archive.org/details/casauhs_00012,casauhs_00012_t1; casauhs_00012_t2; casauhs_00012_t3,,cavpp003161,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Charlie Merrill,,Sausalito Historical Society Oral Histories,oral histories of Charlie Merrill by Betsy Stroman,"Long-term resident, building and builders n Sausalito, Phl Frank, Ed and Loyola Fountane, hippies in the 70's Marinship.",,,,,,US,2005-05-23; 2005-06-06,,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,3 Tapes of 3,Approx. 3:00:00,Sound,,,,,,,,,,,,eng,"Art, American--California--20th century",,,,Documentary,,Sausalito (Calif.),,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA","2005-05-23, 2005-06-06",,,ark:/13030/c84m9708,ark:/13030/c8h997k6,sausalitohistoricalsociety.com,,Note in case (of t1): Charlie's oral history was done in 1994.  It was transcribed into a book. This interview was intended to cover matters not addressed in his earlier interview. At the time of this interview the book was not in the SHS. I have asked Charlie for a copy to put in the SHS. This should be followed up -- Betsy Stromer 5/24/05,,,counter logs,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/4,4,http://archive.org/details,http://archive.org/details
http://archive.org/details/casauhs_000013,casauhs_000013_t1; casauhs_000013_t2,,cavpp003162,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Joe Tate,,,oral history of Joe Tate by interviewer Betsy Stroman,"Sausalito musician and houseboat dweller. Discusses waterfront community, local artists-Juan Varda, Heather Wilcoxin, Danny Joe Crumb,-elping the Indians with their occupation of Alcatraz,  and other waterfront residents.",,,,"Stroman, Betsy",,US,2005-07-25; 2005-08-08,,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,2 Tapes of 2,Approx 2:00:00,Sound,,,,,,,,,,,,eng,Artists--California--Interviews,,,,Documentary,,Sausalito (Calif.),,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA",2005-07-25 and 2005-08-08,,,ark:/13030/c80v8g8j,ark:/13030/c8h997k6,sausalitohistoricalsociety.com,,,,,counter logs,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/5,5,http://archive.org/details,http://archive.org/details
http://archive.org/details/casauhs_00008,casauhs_00008,,cavpp003157,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Serge Trubach,,,oral interview of Serge Trubach by interviewer Clayton Mote,"Trubach was a Sausalito artists and was involved in local politics. He talks about his early days in Sausalito, and other artists- Varda, Kuhlman, Al Sybrian, etc.  He did numerous sketches of local people which the Sausalito Historical Society has.",,,,,,US,2/15/78,,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,1 Tape of 1,Approx 1:00:00,Sound,,,,,,,,,,,,eng,Artists--California--Interviews; Political activity,,,,Documentary,,Sausalito (Calif.),,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA",2/15/78,,,ark:/13030/c8np26w6,ark:/13030/c8h997k6,sausalitohistoricalsociety.com,,,,,counter log,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/6,6,http://archive.org/details,http://archive.org/details
http://archive.org/details/casauhs_00006,casauhs_00006,,cavpp003155,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Walter Kuhlman,,Sausalito Historical Society Oral Histories,oral interview of Walter Kuhlman by interviewer Betsy Stroman,"Kuhlman was a Sausalito artist. He has paintings in a number of permanent collections in California and elsewhere, and did a number one-man and group shows. He talks about working at Heath Ceramics, painting, his shows, and his involvement with the Sausalito Art Festival,",,,,,,US,11/2/07,,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,1 Tape of 1,Approx 1:00:00,Sound,,,,,,,,,,,,eng,Artists--California--Interviews,,,,Documentary,,Sausalito (Calif.),,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA",3/17/94,,,ark:/13030/c8x350xx,ark:/13030/c8h997k6,sausalitohistoricalsociety.com,,,,,counter log,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/7,7,http://archive.org/details,http://archive.org/details
http://archive.org/details/casauhs_00004,casauhs_00004,,cavpp003153,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Amy Belser,,Sausalito Historical Society Oral Histories,Oral Interview of Amy Belser by Barbara Geisler,"Active in Sausalito government: served on City Council, was mayor, served on planning commission, general plan steering committee, Park and Recreation commission and Sausalito Tree Committee.  Also served on Marin County Council of Mayors, League of California Cities Committees, Marin Countrywide Planning Agency and Marin Congestion Management Agency and College of Marin Foundation Board  40+ year resident of Sausalito, active in the community.",,,,,,US,7/9/11,7/9/11,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,1 Tape of 1,1:03:51,Sound,,,,,,,,,,,,eng,Political activity,,,,Documentary,,Sausalito (Calif.),,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA",7/9/11,,,ark:/13030/c85m6853,ark:/13030/c8h997k6,sausalitohistoricalsociety.com,,,,partial transcript,counter log,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/8,8,http://archive.org/details,http://archive.org/details
http://archive.org/details/casauhs_00009,casauhs_00009,,cavpp003158,California Audiovisual Preservation Project (CAVPP),Sausalito Historical Society,Media Object,sound,master,Dorothy Cousins,,Sausalito Historical Society Oral Histories,oral interview of Dorothy Cousins by Jan Wahl,"Dorothy was a long-term resident of Sausalito. Worked in the Sausalito co-op nursery school and then New Marin County Day School. Talks about Juanita Munson and Sally Stanford and her sister, Julia Child and political battler over Spinnaker Restaurant taking away beach rights.",,,,,,US,7/26/90,,"Copyrighted. Rights are owned by the Sausalito Historical Society. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the Copyright Holder. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user.",1/8 inch audio cassette,1 Tape of 1,Approx 1:00:00,Sound,,,,,,,,,,,,eng,Education-California,,,,,,,,Sausalito Historical Society Oral Histories,,,Is Part Of,,1 7/8 ips,,,,,,,,� Sausalito Historical Society,"Sausalito Historical Society, 420 Litho Street, Sausalito, CA",7/26/90,,,ark:/13030/c8hx1g4f,ark:/13030/c8h997k6,sausalitohistoricalsociety.com,,,,,,,9/25/14,1/29/15,http://cdm15972.contentdm.oclc.org:80/cdm/ref/collection/p15972coll89/id/9,9,http://archive.org/details,http://archive.org/details
